market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Illinois,ILL,Fighting Illini,150148c2-ca8f-414f-8f41-d94a55d4a122,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,15500
Wisconsin,WIS,Badgers,c7569eae-5b93-4197-b204-6f3a62146b25,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,17230
Maryland,MD,Terrapins,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,17950
Michigan State,MSU,Spartans,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,16280
Purdue,PUR,Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,14846
Iowa,IOWA,Hawkeyes,c10544de-e3bd-4776-ba2e-83df8c017fd1,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,15400
Ohio State,OSU,Buckeyes,857462b3-0ab6-4d26-9669-10ca354e382b,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,18809
Minnesota,MINN,Golden Gophers,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,14625
Penn State,PSU,Nittany Lions,4aebd148-8119-4875-954c-66779867989b,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,15261
Michigan,MICH,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,12707
Northwestern,NW,Wildcats,4b7dedc0-7b48-49a4-aad6-8a94a33274d2,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,17500
Indiana,IND,Hoosiers,c3f0a8ce-af67-497f-a750-3b859376b20a,Big Ten,BIG10,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52,17472
Wright State,WRST,Raiders,9c396fa7-c165-4599-8542-158bd0d9a199,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,10400
IUPUI,IUPU,Jaguars,90ec10eb-38a4-4a69-b072-ef71d294933b,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,6500
Youngstown State,YSU,Penguins,da7d41bc-48b0-4a04-948f-792d6470bcb5,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,6300
Green Bay,GB,Phoenix,61a3e5ab-1be3-4694-b83f-edae0953f409,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,9729
Illinois-Chicago,UIC,Flames,dfe0d93f-94a5-47fb-b7aa-f74786e09acb,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,9500
Northern Kentucky,NKU,Norse,ab9a1315-293f-42d3-a164-860216e81576,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,9400
Detroit,DET,Titans,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,8295
Cleveland State,CLEV,Vikings,e30c0417-b220-424e-886e-dd1249e2ca5a,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,13610
Oakland,OAK,Golden Grizzlies,aeaaef0d-5238-414e-ac04-c55a22cba208,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,3000
Milwaukee,MILW,Panthers,5d77800f-1ae6-4b66-8e97-b0dbb8bbc717,Horizon,HORIZON,92db2b30-c5ac-41e9-ba18-59f3c2a0dd0b,10783
Marquette,MARQ,Golden Eagles,06f7c904-0ac7-4125-b0f4-f4871bb69057,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,18717
Seton Hall,HALL,Pirates,aef5e386-d8e8-460c-8014-3a2f090fd988,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,18711
